"date","intersection","vehicule"
"2015-11-01 00:00:00","I1",15
"2015-11-01 00:00:00","I2",6
"2015-11-01 00:00:00","I3",9
"2015-11-01 00:00:00","S1",2
"2015-11-01 00:00:00","S2",1
"2015-11-01 00:00:00","S3",5
"2015-11-01 00:00:00","N",3
"2015-11-01 01:00:00","I1",13
"2015-11-01 01:00:00","I2",6
"2015-11-01 01:00:00","I3",7
"2015-11-01 01:00:00","S1",1
"2015-11-01 01:00:00","S2",2
"2015-11-01 01:00:00","S3",3
"2015-11-01 01:00:00","N",3
"2015-11-01 02:00:00","I1",10
"2015-11-01 02:00:00","I2",5
"2015-11-01 02:00:00","I3",5
"2015-11-01 02:00:00","S1",1
"2015-11-01 02:00:00","S2",1
"2015-11-01 02:00:00","S3",2
"2015-11-01 02:00:00","N",1
"2015-11-01 03:00:00","I1",7
"2015-11-01 03:00:00","I2",6
"2015-11-01 03:00:00","I3",1
"2015-11-01 03:00:00","S1",1
"2015-11-01 03:00:00","S2",2
"2015-11-01 03:00:00","S3",1
"2015-11-01 03:00:00","N",0
"2015-11-01 04:00:00","I1",9
"2015-11-01 04:00:00","I2",7
"2015-11-01 04:00:00","I3",2
"2015-11-01 04:00:00","S1",2
"2015-11-01 04:00:00","S2",2
"2015-11-01 04:00:00","S3",1
"2015-11-01 04:00:00","N",0
"2015-11-01 05:00:00","I1",6
"2015-11-01 05:00:00","I2",2
"2015-11-01 05:00:00","I3",2
"2015-11-01 05:00:00","S1",1
"2015-11-01 05:00:00","S2",1
"2015-11-01 05:00:00","S3",1
"2015-11-01 05:00:00","N",0
"2015-11-01 06:00:00","I1",9
"2015-11-01 06:00:00","I2",4
"2015-11-01 06:00:00","I3",3
"2015-11-01 06:00:00","S1",1
"2015-11-01 06:00:00","S2",2
"2015-11-01 06:00:00","S3",2
"2015-11-01 06:00:00","N",1
"2015-11-01 07:00:00","I1",8
"2015-11-01 07:00:00","I2",4
"2015-11-01 07:00:00","I3",4
"2015-11-01 07:00:00","S1",1
"2015-11-01 07:00:00","S2",1
"2015-11-01 07:00:00","S3",2
"2015-11-01 07:00:00","N",1
"2015-11-01 08:00:00","I1",11
"2015-11-01 08:00:00","I2",3
"2015-11-01 08:00:00","I3",3
"2015-11-01 08:00:00","S1",1
"2015-11-01 08:00:00","S2",1
"2015-11-01 08:00:00","S3",2
"2015-11-01 08:00:00","N",1
"2015-11-01 09:00:00","I1",12
"2015-11-01 09:00:00","I2",3
"2015-11-01 09:00:00","I3",6
"2015-11-01 09:00:00","S1",2
"2015-11-01 09:00:00","S2",1
"2015-11-01 09:00:00","S3",5
"2015-11-01 09:00:00","N",2
"2015-11-01 10:00:00","I1",15
"2015-11-01 10:00:00","I2",8
"2015-11-01 10:00:00","I3",12
"2015-11-01 10:00:00","S1",1
"2015-11-01 10:00:00","S2",2
"2015-11-01 10:00:00","S3",7
"2015-11-01 10:00:00","N",5
"2015-11-01 11:00:00","I1",17
"2015-11-01 11:00:00","I2",5
"2015-11-01 11:00:00","I3",6
"2015-11-01 11:00:00","S1",3
"2015-11-01 11:00:00","S2",2
"2015-11-01 11:00:00","S3",3
"2015-11-01 11:00:00","N",2
"2015-11-01 12:00:00","I1",16
"2015-11-01 12:00:00","I2",6
"2015-11-01 12:00:00","I3",6
"2015-11-01 12:00:00","S1",4
"2015-11-01 12:00:00","S2",2
"2015-11-01 12:00:00","S3",2
"2015-11-01 12:00:00","N",2
"2015-11-01 13:00:00","I1",15
"2015-11-01 13:00:00","I2",6
"2015-11-01 13:00:00","I3",9
"2015-11-01 13:00:00","S1",3
"2015-11-01 13:00:00","S2",2
"2015-11-01 13:00:00","S3",6
"2015-11-01 13:00:00","N",2
"2015-11-01 14:00:00","I1",16
"2015-11-01 14:00:00","I2",5
"2015-11-01 14:00:00","I3",6
"2015-11-01 14:00:00","S1",3
"2015-11-01 14:00:00","S2",2
"2015-11-01 14:00:00","S3",2
"2015-11-01 14:00:00","N",2
"2015-11-01 15:00:00","I1",12
"2015-11-01 15:00:00","I2",3
"2015-11-01 15:00:00","I3",6
"2015-11-01 15:00:00","S1",1
"2015-11-01 15:00:00","S2",1
"2015-11-01 15:00:00","S3",4
"2015-11-01 15:00:00","N",2
"2015-11-01 16:00:00","I1",12
"2015-11-01 16:00:00","I2",8
"2015-11-01 16:00:00","I3",4
"2015-11-01 16:00:00","S1",2
"2015-11-01 16:00:00","S2",2
"2015-11-01 16:00:00","S3",2
"2015-11-01 16:00:00","N",1
"2015-11-01 17:00:00","I1",16
"2015-11-01 17:00:00","I2",7
"2015-11-01 17:00:00","I3",4
"2015-11-01 17:00:00","S1",3
"2015-11-01 17:00:00","S2",1
"2015-11-01 17:00:00","S3",2
"2015-11-01 17:00:00","N",1
"2015-11-01 18:00:00","I1",17
"2015-11-01 18:00:00","I2",8
"2015-11-01 18:00:00","I3",6
"2015-11-01 18:00:00","S1",3
"2015-11-01 18:00:00","S2",1
"2015-11-01 18:00:00","S3",3
"2015-11-01 18:00:00","N",2
"2015-11-01 19:00:00","I1",20
"2015-11-01 19:00:00","I2",7
"2015-11-01 19:00:00","I3",5
"2015-11-01 19:00:00","S1",4
"2015-11-01 19:00:00","S2",2
"2015-11-01 19:00:00","S3",2
"2015-11-01 19:00:00","N",2
"2015-11-01 20:00:00","I1",17
"2015-11-01 20:00:00","I2",6
"2015-11-01 20:00:00","I3",11
"2015-11-01 20:00:00","S1",4
"2015-11-01 20:00:00","S2",2
"2015-11-01 20:00:00","S3",8
"2015-11-01 20:00:00","N",4
"2015-11-01 21:00:00","I1",19
"2015-11-01 21:00:00","I2",5
"2015-11-01 21:00:00","I3",8
"2015-11-01 21:00:00","S1",3
"2015-11-01 21:00:00","S2",1
"2015-11-01 21:00:00","S3",5
"2015-11-01 21:00:00","N",2
"2015-11-01 22:00:00","I1",20
"2015-11-01 22:00:00","I2",9
"2015-11-01 22:00:00","I3",6
"2015-11-01 22:00:00","S1",2
"2015-11-01 22:00:00","S2",1
"2015-11-01 22:00:00","S3",2
"2015-11-01 22:00:00","N",2
"2015-11-01 23:00:00","I1",15
"2015-11-01 23:00:00","I2",4
"2015-11-01 23:00:00","I3",5
"2015-11-01 23:00:00","S1",2
"2015-11-01 23:00:00","S2",1
"2015-11-01 23:00:00","S3",3
"2015-11-01 23:00:00","N",2
"2015-11-02 00:00:00","I1",14
"2015-11-02 00:00:00","I2",8
"2015-11-02 00:00:00","I3",5
"2015-11-02 00:00:00","S1",2
"2015-11-02 00:00:00","S2",3
"2015-11-02 00:00:00","S3",2
"2015-11-02 00:00:00","N",2
"2015-11-02 01:00:00","I1",12
"2015-11-02 01:00:00","I2",6
"2015-11-02 01:00:00","I3",3
"2015-11-02 01:00:00","S1",2
"2015-11-02 01:00:00","S2",2
"2015-11-02 01:00:00","S3",2
"2015-11-02 01:00:00","N",1
"2015-11-02 02:00:00","I1",14
"2015-11-02 02:00:00","I2",8
"2015-11-02 02:00:00","I3",5
"2015-11-02 02:00:00","S1",1
"2015-11-02 02:00:00","S2",2
"2015-11-02 02:00:00","S3",2
"2015-11-02 02:00:00","N",2
"2015-11-02 03:00:00","I1",12
"2015-11-02 03:00:00","I2",5
"2015-11-02 03:00:00","I3",5
"2015-11-02 03:00:00","S1",2
"2015-11-02 03:00:00","S2",2
"2015-11-02 03:00:00","S3",2
"2015-11-02 03:00:00","N",2
"2015-11-02 04:00:00","I1",12
"2015-11-02 04:00:00","I2",3
"2015-11-02 04:00:00","I3",3
"2015-11-02 04:00:00","S1",2
"2015-11-02 04:00:00","S2",1
"2015-11-02 04:00:00","S3",2
"2015-11-02 04:00:00","N",1
"2015-11-02 05:00:00","I1",11
"2015-11-02 05:00:00","I2",4
"2015-11-02 05:00:00","I3",1
"2015-11-02 05:00:00","S1",1
"2015-11-02 05:00:00","S2",2
"2015-11-02 05:00:00","S3",1
"2015-11-02 05:00:00","N",0
"2015-11-02 06:00:00","I1",13
"2015-11-02 06:00:00","I2",5
"2015-11-02 06:00:00","I3",5
"2015-11-02 06:00:00","S1",2
"2015-11-02 06:00:00","S2",2
"2015-11-02 06:00:00","S3",2
"2015-11-02 06:00:00","N",1
"2015-11-02 07:00:00","I1",14
"2015-11-02 07:00:00","I2",6
"2015-11-02 07:00:00","I3",1
"2015-11-02 07:00:00","S1",3
"2015-11-02 07:00:00","S2",2
"2015-11-02 07:00:00","S3",1
"2015-11-02 07:00:00","N",0
"2015-11-02 08:00:00","I1",12
"2015-11-02 08:00:00","I2",8
"2015-11-02 08:00:00","I3",5
"2015-11-02 08:00:00","S1",1
"2015-11-02 08:00:00","S2",2
"2015-11-02 08:00:00","S3",2
"2015-11-02 08:00:00","N",2
"2015-11-02 09:00:00","I1",22
"2015-11-02 09:00:00","I2",5
"2015-11-02 09:00:00","I3",8
"2015-11-02 09:00:00","S1",2
"2015-11-02 09:00:00","S2",2
"2015-11-02 09:00:00","S3",5
"2015-11-02 09:00:00","N",3
"2015-11-02 10:00:00","I1",32
"2015-11-02 10:00:00","I2",8
"2015-11-02 10:00:00","I3",10
"2015-11-02 10:00:00","S1",4
"2015-11-02 10:00:00","S2",1
"2015-11-02 10:00:00","S3",5
"2015-11-02 10:00:00","N",3
"2015-11-02 11:00:00","I1",31
"2015-11-02 11:00:00","I2",9
"2015-11-02 11:00:00","I3",10
"2015-11-02 11:00:00","S1",4
"2015-11-02 11:00:00","S2",3
"2015-11-02 11:00:00","S3",5
"2015-11-02 11:00:00","N",5
"2015-11-02 12:00:00","I1",35
"2015-11-02 12:00:00","I2",11
"2015-11-02 12:00:00","I3",11
"2015-11-02 12:00:00","S1",5
"2015-11-02 12:00:00","S2",2
"2015-11-02 12:00:00","S3",4
"2015-11-02 12:00:00","N",4
"2015-11-02 13:00:00","I1",26
"2015-11-02 13:00:00","I2",8
"2015-11-02 13:00:00","I3",7
"2015-11-02 13:00:00","S1",2
"2015-11-02 13:00:00","S2",1
"2015-11-02 13:00:00","S3",2
"2015-11-02 13:00:00","N",3
"2015-11-02 14:00:00","I1",34
"2015-11-02 14:00:00","I2",8
"2015-11-02 14:00:00","I3",6
"2015-11-02 14:00:00","S1",3
"2015-11-02 14:00:00","S2",2
"2015-11-02 14:00:00","S3",3
"2015-11-02 14:00:00","N",2
"2015-11-02 15:00:00","I1",30
"2015-11-02 15:00:00","I2",8
"2015-11-02 15:00:00","I3",9
"2015-11-02 15:00:00","S1",4
"2015-11-02 15:00:00","S2",3
"2015-11-02 15:00:00","S3",4
"2015-11-02 15:00:00","N",3
"2015-11-02 16:00:00","I1",27
"2015-11-02 16:00:00","I2",11
"2015-11-02 16:00:00","I3",6
"2015-11-02 16:00:00","S1",4
"2015-11-02 16:00:00","S2",1
"2015-11-02 16:00:00","S3",3
"2015-11-02 16:00:00","N",2
"2015-11-02 17:00:00","I1",27
"2015-11-02 17:00:00","I2",6
"2015-11-02 17:00:00","I3",6
"2015-11-02 17:00:00","S1",3
